Year,STATE/UT,DISTRICT,Insult_to_modesty_of_Women
2012,uttarpradesh,sidharthnagar,0
2013,uttarpradesh,sidharthnagar,0
2001,madhyapradesh,sidhi,2
2002,madhyapradesh,sidhi,3
2003,madhyapradesh,sidhi,2
2004,madhyapradesh,sidhi,2
2005,madhyapradesh,sidhi,4
2006,madhyapradesh,sidhi,2
2007,madhyapradesh,sidhi,10
2008,madhyapradesh,sidhi,5
2009,madhyapradesh,sidhi,6
2010,madhyapradesh,sidhi,3
2011,madhyapradesh,sidhi,1
2012,madhyapradesh,sidhi,5
2013,madhyapradesh,sidhi,4
2001,madhyapradesh,sihore,17
2002,madhyapradesh,sihore,13
2003,madhyapradesh,sihore,12
2004,madhyapradesh,sihore,14
2005,madhyapradesh,sihore,14
2006,madhyapradesh,sihore,6
2007,madhyapradesh,sihore,9
2008,madhyapradesh,sihore,16
2009,madhyapradesh,sihore,16
2010,madhyapradesh,sihore,15
2011,madhyapradesh,sihore,14
2012,madhyapradesh,sihore,13
2013,madhyapradesh,sihore,11
2001,rajasthan,sikar,0
2002,rajasthan,sikar,0
2003,rajasthan,sikar,0
2004,rajasthan,sikar,0
2005,rajasthan,sikar,0
2006,rajasthan,sikar,0
2007,rajasthan,sikar,0
2008,rajasthan,sikar,0
2009,rajasthan,sikar,0
2010,rajasthan,sikar,0
2011,rajasthan,sikar,0
2012,rajasthan,sikar,0
2013,rajasthan,sikar,0
2001,westbengal,siliguri_g.r.p.,0
2002,westbengal,siliguri_g.r.p.,0
2003,westbengal,siliguri_g.r.p.,0
2004,westbengal,siliguri_g.r.p.,0
2005,westbengal,siliguri_g.r.p.,0
2006,westbengal,siliguri_g.r.p.,0
2007,westbengal,siliguri_g.r.p.,0
2008,westbengal,siliguri_g.r.p.,0
2009,westbengal,siliguri_g.r.p.,0
2010,westbengal,siliguri_g.r.p.,0
2011,westbengal,siliguri_g.r.p.,0
2012,westbengal,siliguri_g.r.p.,1
2013,westbengal,siliguri_g.r.p.,2
2001,jharkhand,simdega,0
2002,jharkhand,simdega,0
2003,jharkhand,simdega,0
2004,jharkhand,simdega,0
2005,jharkhand,simdega,0
2006,jharkhand,simdega,4
2007,jharkhand,simdega,0
2008,jharkhand,simdega,0
2009,jharkhand,simdega,0
2010,jharkhand,simdega,0
2011,jharkhand,simdega,0
2012,jharkhand,simdega,0
2013,jharkhand,simdega,0
2001,maharashtra,sindhudurg,13
2002,maharashtra,sindhudurg,1
2003,maharashtra,sindhudurg,3
2004,maharashtra,sindhudurg,5
2005,maharashtra,sindhudurg,12
2006,maharashtra,sindhudurg,10
2007,maharashtra,sindhudurg,14
2008,maharashtra,sindhudurg,15
2009,maharashtra,sindhudurg,6
2010,maharashtra,sindhudurg,12
2011,maharashtra,sindhudurg,12
2012,maharashtra,sindhudurg,17
2013,maharashtra,sindhudurg,12
2001,himachalpradesh,sirmaur,4
2002,himachalpradesh,sirmaur,0
2003,himachalpradesh,sirmaur,0
2004,himachalpradesh,sirmaur,4
2005,himachalpradesh,sirmaur,4
2006,himachalpradesh,sirmaur,3
2007,himachalpradesh,sirmaur,0
2008,himachalpradesh,sirmaur,0
2009,himachalpradesh,sirmaur,2
2010,himachalpradesh,sirmaur,5
2011,himachalpradesh,sirmaur,1
2012,himachalpradesh,sirmaur,4
2013,himachalpradesh,sirmaur,4
2001,rajasthan,sirohi,0
2002,rajasthan,sirohi,0
2003,rajasthan,sirohi,0
2004,rajasthan,sirohi,1
2005,rajasthan,sirohi,0
2006,rajasthan,sirohi,1
2007,rajasthan,sirohi,0
2008,rajasthan,sirohi,0
2009,rajasthan,sirohi,1
2010,rajasthan,sirohi,0
2011,rajasthan,sirohi,0
2012,rajasthan,sirohi,1
2013,rajasthan,sirohi,0
2001,haryana,sirsa,0
2002,haryana,sirsa,0
2003,haryana,sirsa,0
2004,haryana,sirsa,0
2005,haryana,sirsa,0
2006,haryana,sirsa,0
2007,haryana,sirsa,0
2008,haryana,sirsa,0
2009,haryana,sirsa,0
2010,haryana,sirsa,0
2011,haryana,sirsa,0
2012,haryana,sirsa,1
2013,haryana,sirsa,13
2001,bihar,sitamarhi,0
2002,bihar,sitamarhi,0
2003,bihar,sitamarhi,0
2004,bihar,sitamarhi,0
2005,bihar,sitamarhi,0
2006,bihar,sitamarhi,2
2007,bihar,sitamarhi,0
2008,bihar,sitamarhi,0
2009,bihar,sitamarhi,0
2010,bihar,sitamarhi,0
2011,bihar,sitamarhi,0
2012,bihar,sitamarhi,0
2013,bihar,sitamarhi,0
2001,uttarpradesh,sitapur,35
2002,uttarpradesh,sitapur,13
2003,uttarpradesh,sitapur,36
2004,uttarpradesh,sitapur,34
2005,uttarpradesh,sitapur,31
2006,uttarpradesh,sitapur,34
2007,uttarpradesh,sitapur,20
2008,uttarpradesh,sitapur,21
2009,uttarpradesh,sitapur,47
2010,uttarpradesh,sitapur,0
2011,uttarpradesh,sitapur,0
2012,uttarpradesh,sitapur,0
2013,uttarpradesh,sitapur,0
2001,tamilnadu,sivagangai,2
2002,tamilnadu,sivagangai,9
2003,tamilnadu,sivagangai,7
2004,tamilnadu,sivagangai,23
2005,tamilnadu,sivagangai,10
2006,tamilnadu,sivagangai,19
2007,tamilnadu,sivagangai,12
2008,tamilnadu,sivagangai,16
2009,tamilnadu,sivagangai,9
2010,tamilnadu,sivagangai,1
2011,tamilnadu,sivagangai,1
2012,tamilnadu,sivagangai,0
2013,tamilnadu,sivagangai,0
2001,bihar,siwan,0
2002,bihar,siwan,0
2003,bihar,siwan,0
2004,bihar,siwan,0
2005,bihar,siwan,1
2006,bihar,siwan,1
2007,bihar,siwan,2
2008,bihar,siwan,2
2009,bihar,siwan,0
2010,bihar,siwan,0
2011,bihar,siwan,3
2012,bihar,siwan,0
2013,bihar,siwan,0
2001,himachalpradesh,solan,1
2002,himachalpradesh,solan,1
2003,himachalpradesh,solan,3
2004,himachalpradesh,solan,0
2005,himachalpradesh,solan,1
2006,himachalpradesh,solan,2
2007,himachalpradesh,solan,0
2008,himachalpradesh,solan,2
2009,himachalpradesh,solan,2
2010,himachalpradesh,solan,1
2011,himachalpradesh,solan,0
2012,himachalpradesh,solan,1
2013,himachalpradesh,solan,1
2001,maharashtra,solapur_commr.,4
2002,maharashtra,solapur_commr.,5
2003,maharashtra,solapur_commr.,3
2004,maharashtra,solapur_commr.,2
2005,maharashtra,solapur_commr.,11
2006,maharashtra,solapur_commr.,10
2007,maharashtra,solapur_commr.,5
2008,maharashtra,solapur_commr.,3
2009,maharashtra,solapur_commr.,5
2010,maharashtra,solapur_commr.,2
2011,maharashtra,solapur_commr.,9
2012,maharashtra,solapur_commr.,10
2013,maharashtra,solapur_commr.,23
2001,maharashtra,solapur_rural,12
2002,maharashtra,solapur_rural,0
2003,maharashtra,solapur_rural,0
2004,maharashtra,solapur_rural,20
2005,maharashtra,solapur_rural,9
2006,maharashtra,solapur_rural,29
2007,maharashtra,solapur_rural,17
2008,maharashtra,solapur_rural,0
2009,maharashtra,solapur_rural,0
2010,maharashtra,solapur_rural,35
2011,maharashtra,solapur_rural,32
2012,maharashtra,solapur_rural,40
2013,maharashtra,solapur_rural,28
2001,uttarpradesh,sonbhadra,4
2002,uttarpradesh,sonbhadra,8
2003,uttarpradesh,sonbhadra,15
2004,uttarpradesh,sonbhadra,14
2005,uttarpradesh,sonbhadra,20
2006,uttarpradesh,sonbhadra,32
2007,uttarpradesh,sonbhadra,35
2008,uttarpradesh,sonbhadra,37
2009,uttarpradesh,sonbhadra,20
2010,uttarpradesh,sonbhadra,0
2011,uttarpradesh,sonbhadra,0
2012,uttarpradesh,sonbhadra,0
2013,uttarpradesh,sonbhadra,0
2001,odisha,sonepur,4
2002,odisha,sonepur,4
2003,odisha,sonepur,1
2004,odisha,sonepur,3
2005,odisha,sonepur,0
2006,odisha,sonepur,4
2007,odisha,sonepur,2
2008,odisha,sonepur,2
2009,odisha,sonepur,1
2010,odisha,sonepur,2
2011,odisha,sonepur,1
2012,odisha,sonepur,1
2013,odisha,sonepur,1
2001,haryana,sonipat,14
2002,haryana,sonipat,10
2003,haryana,sonipat,5
2004,haryana,sonipat,12
2005,haryana,sonipat,22
2006,haryana,sonipat,28
2007,haryana,sonipat,27
2008,haryana,sonipat,50
2009,haryana,sonipat,46
2010,haryana,sonipat,36
2011,haryana,sonipat,15
2012,haryana,sonipat,25
2013,haryana,sonipat,48
2001,assam,sonitpur,0
2002,assam,sonitpur,0
2003,assam,sonitpur,0
2004,assam,sonitpur,0
2005,assam,sonitpur,0
2006,assam,sonitpur,0
2007,assam,sonitpur,0
2008,assam,sonitpur,0
2009,assam,sonitpur,0
2010,assam,sonitpur,0
2011,assam,sonitpur,0
2012,assam,sonitpur,0
2013,assam,sonitpur,0
2001,sikkim,south,4
2001,tripura,south,0
2001,delhi,south,24
2002,sikkim,south,0
2002,tripura,south,0
2002,delhi,south,22
2003,sikkim,south,0
2003,tripura,south,0
2003,delhi,south,21
2004,sikkim,south,0
2004,tripura,south,0
2004,delhi,south,40
2005,sikkim,south,0
2005,tripura,south,0
2005,delhi,south,36
2006,sikkim,south,0
2006,tripura,south,0
2006,delhi,south,34
2007,sikkim,south,0
2007,tripura,south,0
2007,delhi,south,36
2008,sikkim,south,0
2008,tripura,south,0
2008,delhi,south,16
2009,sikkim,south,0
2009,tripura,south,1
2009,delhi,south,23
2010,sikkim,south,0
2010,tripura,south,3
2010,delhi,south,10
2011,sikkim,south,0
2011,tripura,south,1
2011,delhi,south,29
2012,sikkim,south,0
2012,tripura,south,0
2012,a&nislands,south,3
2012,delhi,south,36
2013,sikkim,south,0
2013,tripura,south,0
2013,a&nislands,south,5
2013,delhi,south,140
2001,goa,south_goa,5
2002,goa,south_goa,2
2003,goa,south_goa,3
2004,goa,south_goa,7
2005,goa,south_goa,2
2006,goa,south_goa,4
2007,goa,south_goa,3
2008,goa,south_goa,10
2009,goa,south_goa,5
2010,goa,south_goa,6
2011,goa,south_goa,3
2012,goa,south_goa,2
2013,goa,south_goa,18
2001,andhrapradesh,srikakulam,47
2002,andhrapradesh,srikakulam,16
2003,andhrapradesh,srikakulam,44
2004,andhrapradesh,srikakulam,11
2005,andhrapradesh,srikakulam,40
2006,andhrapradesh,srikakulam,25
2007,andhrapradesh,srikakulam,57
2008,andhrapradesh,srikakulam,72
2009,andhrapradesh,srikakulam,44
2010,andhrapradesh,srikakulam,92
2011,andhrapradesh,srikakulam,83
2012,andhrapradesh,srikakulam,69
2013,andhrapradesh,srikakulam,129
2001,jammu&kashmir,srinagar,88
2002,jammu&kashmir,srinagar,86
2003,jammu&kashmir,srinagar,130
2004,jammu&kashmir,srinagar,55
2005,jammu&kashmir,srinagar,181
2006,jammu&kashmir,srinagar,95
2007,jammu&kashmir,srinagar,121
2008,jammu&kashmir,srinagar,104
2009,jammu&kashmir,srinagar,118
2010,jammu&kashmir,srinagar,58
2011,jammu&kashmir,srinagar,70
2012,jammu&kashmir,srinagar,82
2013,jammu&kashmir,srinagar,90
2001,odisha,srp(cuttack),4
2002,odisha,srp(cuttack),0
2003,odisha,srp(cuttack),1
2004,odisha,srp(cuttack),0
2005,odisha,srp(cuttack),0
2006,odisha,srp(cuttack),0
2007,odisha,srp(cuttack),0
2008,odisha,srp(cuttack),0
2009,odisha,srp(cuttack),0
2010,odisha,srp(cuttack),0
2011,odisha,srp(cuttack),1
2012,odisha,srp(cuttack),1
2013,odisha,srp(cuttack),0
2001,odisha,srp(rourkela),0
2002,odisha,srp(rourkela),0
2003,odisha,srp(rourkela),0
2004,odisha,srp(rourkela),0
2005,odisha,srp(rourkela),0
2006,odisha,srp(rourkela),0
2007,odisha,srp(rourkela),1
2008,odisha,srp(rourkela),1
2009,odisha,srp(rourkela),0
2010,odisha,srp(rourkela),0
2011,odisha,srp(rourkela),1
2012,odisha,srp(rourkela),0
2013,odisha,srp(rourkela),0
2001,uttarpradesh,st.ravidasnagar,3
2002,uttarpradesh,st.ravidasnagar,1
2003,uttarpradesh,st.ravidasnagar,3
2004,uttarpradesh,st.ravidasnagar,5
2005,uttarpradesh,st.ravidasnagar,17
2006,uttarpradesh,st.ravidasnagar,14
2007,uttarpradesh,st.ravidasnagar,2
2008,uttarpradesh,st.ravidasnagar,6
2009,uttarpradesh,st.ravidasnagar,7
2010,uttarpradesh,st.ravidasnagar,0
2011,uttarpradesh,st.ravidasnagar,0
2012,uttarpradesh,st.ravidasnagar,0
2013,uttarpradesh,st.ravidasnagar,0
2001,arunachalpradesh,subansiri_lower,0
2002,arunachalpradesh,subansiri_lower,0
2003,arunachalpradesh,subansiri_lower,0
2004,arunachalpradesh,subansiri_lower,0
2005,arunachalpradesh,subansiri_lower,0
2006,arunachalpradesh,subansiri_lower,0
2007,arunachalpradesh,subansiri_lower,0
2008,arunachalpradesh,subansiri_lower,0
2009,arunachalpradesh,subansiri_lower,0
2010,arunachalpradesh,subansiri_lower,0
2011,arunachalpradesh,subansiri_lower,0
2012,arunachalpradesh,subansiri_lower,0
2013,arunachalpradesh,subansiri_lower,0
2001,arunachalpradesh,subansiri_upper,0
2002,arunachalpradesh,subansiri_upper,0
2003,arunachalpradesh,subansiri_upper,0
2004,arunachalpradesh,subansiri_upper,0
2005,arunachalpradesh,subansiri_upper,0
2006,arunachalpradesh,subansiri_upper,0
2007,arunachalpradesh,subansiri_upper,0
2008,arunachalpradesh,subansiri_upper,0
2009,arunachalpradesh,subansiri_upper,0
2010,arunachalpradesh,subansiri_upper,0
2011,arunachalpradesh,subansiri_upper,0
2012,arunachalpradesh,subansiri_upper,0
2013,arunachalpradesh,subansiri_upper,0
2001,uttarpradesh,sultanpur,17
2002,uttarpradesh,sultanpur,15
2003,uttarpradesh,sultanpur,81
2004,uttarpradesh,sultanpur,32
2005,uttarpradesh,sultanpur,21
2006,uttarpradesh,sultanpur,23
2007,uttarpradesh,sultanpur,13
2008,uttarpradesh,sultanpur,19
2009,uttarpradesh,sultanpur,35
2010,uttarpradesh,sultanpur,0
2011,uttarpradesh,sultanpur,0
2012,uttarpradesh,sultanpur,0
2013,uttarpradesh,sultanpur,0
2001,odisha,sundargarh,10
2002,odisha,sundargarh,9
2003,odisha,sundargarh,10
2004,odisha,sundargarh,13
2005,odisha,sundargarh,7
2006,odisha,sundargarh,6
2007,odisha,sundargarh,5
2008,odisha,sundargarh,8
2009,odisha,sundargarh,5
2010,odisha,sundargarh,1
2011,odisha,sundargarh,2
2012,odisha,sundargarh,5
2013,odisha,sundargarh,3
2001,bihar,supaul,0
2002,bihar,supaul,0
2003,bihar,supaul,0
2004,bihar,supaul,0
2005,bihar,supaul,0
2006,bihar,supaul,0
2007,bihar,supaul,0
2008,bihar,supaul,0
2009,bihar,supaul,0
2010,bihar,supaul,0
2011,bihar,supaul,0
2012,bihar,supaul,0
2013,bihar,supaul,0
2001,gujarat,surat_commr.,1
2002,gujarat,surat_commr.,12
2003,gujarat,surat_commr.,2
2004,gujarat,surat_commr.,6
2005,gujarat,surat_commr.,4
2006,gujarat,surat_commr.,6
2007,gujarat,surat_commr.,8
2008,gujarat,surat_commr.,2
2009,gujarat,surat_commr.,2
2010,gujarat,surat_commr.,1
2011,gujarat,surat_commr.,3
2012,gujarat,surat_commr.,0
2013,gujarat,surat_commr.,0
2001,gujarat,surat_rural,0
2002,gujarat,surat_rural,1
2003,gujarat,surat_rural,0
2004,gujarat,surat_rural,2
2005,gujarat,surat_rural,0
2006,gujarat,surat_rural,0
2007,gujarat,surat_rural,0
2008,gujarat,surat_rural,0
2009,gujarat,surat_rural,0
2010,gujarat,surat_rural,0
2011,gujarat,surat_rural,0
2012,gujarat,surat_rural,2
2013,gujarat,surat_rural,0
2001,gujarat,surendranagar,3
2002,gujarat,surendranagar,2
2003,gujarat,surendranagar,2
2004,gujarat,surendranagar,0
2005,gujarat,surendranagar,1
2006,gujarat,surendranagar,2
2007,gujarat,surendranagar,5
2008,gujarat,surendranagar,1
2009,gujarat,surendranagar,3
2010,gujarat,surendranagar,2
2011,gujarat,surendranagar,4
2012,gujarat,surendranagar,5
2013,gujarat,surendranagar,7
2001,manipur,tamenglong,0
2002,manipur,tamenglong,0
2003,manipur,tamenglong,0
2004,manipur,tamenglong,0
2005,manipur,tamenglong,0
2006,manipur,tamenglong,0
2007,manipur,tamenglong,0
2008,manipur,tamenglong,0
2009,manipur,tamenglong,0
2010,manipur,tamenglong,0
2011,manipur,tamenglong,0
2012,manipur,tamenglong,0
2013,manipur,tamenglong,0
2001,punjab,tarn_taran,0
2002,punjab,tarn_taran,0
2003,punjab,tarn_taran,0
2004,punjab,tarn_taran,0
2005,punjab,tarn_taran,0
2006,punjab,tarn_taran,0
2007,punjab,tarn_taran,0
2008,punjab,tarn_taran,0
2009,punjab,tarn_taran,1
2010,punjab,tarn_taran,0
2011,punjab,tarn_taran,0
2012,punjab,tarn_taran,0
2013,punjab,tarn_taran,0
2001,arunachalpradesh,tawang,1
2002,arunachalpradesh,tawang,1
2003,arunachalpradesh,tawang,0
2004,arunachalpradesh,tawang,0
2005,arunachalpradesh,tawang,0
2006,arunachalpradesh,tawang,0
2007,arunachalpradesh,tawang,0
2008,arunachalpradesh,tawang,0
2009,arunachalpradesh,tawang,0
2010,arunachalpradesh,tawang,0
2011,arunachalpradesh,tawang,0
2012,arunachalpradesh,tawang,0
2013,arunachalpradesh,tawang,0
2001,uttarakhand,tehri_garhwal,0
2002,uttarakhand,tehri_garhwal,0
2003,uttarakhand,tehri_garhwal,0
2004,uttarakhand,tehri_garhwal,0
2005,uttarakhand,tehri_garhwal,0
2006,uttarakhand,tehri_garhwal,0
2007,uttarakhand,tehri_garhwal,2
2008,uttarakhand,tehri_garhwal,8
2009,uttarakhand,tehri_garhwal,0
2010,uttarakhand,tehri_garhwal,0
2011,uttarakhand,tehri_garhwal,0
2012,uttarakhand,tehri_garhwal,0
2013,uttarakhand,tehri_garhwal,0
2001,maharashtra,thane_commr.,43
2002,maharashtra,thane_commr.,40
2003,maharashtra,thane_commr.,29
2004,maharashtra,thane_commr.,36
2005,maharashtra,thane_commr.,39
2006,maharashtra,thane_commr.,41
2007,maharashtra,thane_commr.,20
2008,maharashtra,thane_commr.,46
2009,maharashtra,thane_commr.,52
2010,maharashtra,thane_commr.,32
2011,maharashtra,thane_commr.,38
2012,maharashtra,thane_commr.,28
2013,maharashtra,thane_commr.,119
2001,maharashtra,thane_rural,25
2002,maharashtra,thane_rural,26
2003,maharashtra,thane_rural,23
2004,maharashtra,thane_rural,41
2005,maharashtra,thane_rural,33
2006,maharashtra,thane_rural,43
2007,maharashtra,thane_rural,29
2008,maharashtra,thane_rural,24
2009,maharashtra,thane_rural,30
2010,maharashtra,thane_rural,42
2011,maharashtra,thane_rural,18
2012,maharashtra,thane_rural,32
2013,maharashtra,thane_rural,100
2001,tamilnadu,thanjavur,46
2002,tamilnadu,thanjavur,19
2003,tamilnadu,thanjavur,14
2004,tamilnadu,thanjavur,1
2005,tamilnadu,thanjavur,5
2006,tamilnadu,thanjavur,5
2007,tamilnadu,thanjavur,0
2008,tamilnadu,thanjavur,0
2009,tamilnadu,thanjavur,3
2010,tamilnadu,thanjavur,0
2011,tamilnadu,thanjavur,0
2012,tamilnadu,thanjavur,0
2013,tamilnadu,thanjavur,4
2001,tamilnadu,theni,8
2002,tamilnadu,theni,5
2003,tamilnadu,theni,7
2004,tamilnadu,theni,13
2005,tamilnadu,theni,4
2006,tamilnadu,theni,16
2007,tamilnadu,theni,12
2008,tamilnadu,theni,5
2009,tamilnadu,theni,29
2010,tamilnadu,theni,65
2011,tamilnadu,theni,0
2012,tamilnadu,theni,0
2013,tamilnadu,theni,0
2001,tamilnadu,thirunelveli_rural,62
2002,tamilnadu,thirunelveli_rural,52
2003,tamilnadu,thirunelveli_rural,28
2004,tamilnadu,thirunelveli_rural,18
2005,tamilnadu,thirunelveli_rural,1
2006,tamilnadu,thirunelveli_rural,62
2007,tamilnadu,thirunelveli_rural,0
2008,tamilnadu,thirunelveli_rural,0
2009,tamilnadu,thirunelveli_rural,0
2010,tamilnadu,thirunelveli_rural,0
2011,tamilnadu,thirunelveli_rural,0
2012,tamilnadu,thirunelveli_rural,0
2013,tamilnadu,thirunelveli_rural,0
2001,tamilnadu,thirunelveli_urban,21
2002,tamilnadu,thirunelveli_urban,14
2003,tamilnadu,thirunelveli_urban,18
2004,tamilnadu,thirunelveli_urban,18
2005,tamilnadu,thirunelveli_urban,29
2006,tamilnadu,thirunelveli_urban,27
2007,tamilnadu,thirunelveli_urban,28
2008,tamilnadu,thirunelveli_urban,49
2009,tamilnadu,thirunelveli_urban,0
2010,tamilnadu,thirunelveli_urban,0
2011,tamilnadu,thirunelveli_urban,0
2012,tamilnadu,thirunelveli_urban,0
2013,tamilnadu,thirunelveli_urban,0
2001,tamilnadu,thiruvallur,17
2002,tamilnadu,thiruvallur,24
2003,tamilnadu,thiruvallur,13
2004,tamilnadu,thiruvallur,15
2005,tamilnadu,thiruvallur,17
2006,tamilnadu,thiruvallur,18
2007,tamilnadu,thiruvallur,10
2008,tamilnadu,thiruvallur,0
2009,tamilnadu,thiruvallur,0
2010,tamilnadu,thiruvallur,1
2011,tamilnadu,thiruvallur,1
2012,tamilnadu,thiruvallur,1
2013,tamilnadu,thiruvallur,0
2001,tamilnadu,thiruvannamalai,9
2002,tamilnadu,thiruvannamalai,29
2003,tamilnadu,thiruvannamalai,8
2004,tamilnadu,thiruvannamalai,16
2005,tamilnadu,thiruvannamalai,16
2006,tamilnadu,thiruvannamalai,27
2007,tamilnadu,thiruvannamalai,28
2008,tamilnadu,thiruvannamalai,47
2009,tamilnadu,thiruvannamalai,0
2010,tamilnadu,thiruvannamalai,0
2011,tamilnadu,thiruvannamalai,0
2012,tamilnadu,thiruvannamalai,0
2013,tamilnadu,thiruvannamalai,2
2001,tamilnadu,thiruvarur,18
2002,tamilnadu,thiruvarur,15
2003,tamilnadu,thiruvarur,9
2004,tamilnadu,thiruvarur,13
2005,tamilnadu,thiruvarur,21
2006,tamilnadu,thiruvarur,18
2007,tamilnadu,thiruvarur,10
2008,tamilnadu,thiruvarur,2
2009,tamilnadu,thiruvarur,0
2010,tamilnadu,thiruvarur,0
2011,tamilnadu,thiruvarur,0
2012,tamilnadu,thiruvarur,0
2013,tamilnadu,thiruvarur,0
2001,tamilnadu,thoothugudi,47
2002,tamilnadu,thoothugudi,0
2003,tamilnadu,thoothugudi,51
2004,tamilnadu,thoothugudi,84
2005,tamilnadu,thoothugudi,105
2006,tamilnadu,thoothugudi,132
2007,tamilnadu,thoothugudi,191
2008,tamilnadu,thoothugudi,343
2009,tamilnadu,thoothugudi,0
2010,tamilnadu,thoothugudi,0
2011,tamilnadu,thoothugudi,0
2012,tamilnadu,thoothugudi,0
2013,tamilnadu,thoothugudi,1
2001,manipur,thoubal,0
2002,manipur,thoubal,0
2003,manipur,thoubal,0
2004,manipur,thoubal,0
2005,manipur,thoubal,0
2006,manipur,thoubal,0
2007,manipur,thoubal,0
2008,manipur,thoubal,0
2009,manipur,thoubal,1
2010,manipur,thoubal,0
2011,manipur,thoubal,0
2012,manipur,thoubal,1
2013,manipur,thoubal,0
2001,madhyapradesh,tikamgarh,2
2002,madhyapradesh,tikamgarh,5
2003,madhyapradesh,tikamgarh,5
2004,madhyapradesh,tikamgarh,7
2005,madhyapradesh,tikamgarh,5
2006,madhyapradesh,tikamgarh,4
2007,madhyapradesh,tikamgarh,0
2008,madhyapradesh,tikamgarh,2
2009,madhyapradesh,tikamgarh,3
2010,madhyapradesh,tikamgarh,4
2011,madhyapradesh,tikamgarh,4
2012,madhyapradesh,tikamgarh,7
2013,madhyapradesh,tikamgarh,5
2001,assam,tinsukia,0
2002,assam,tinsukia,0
2003,assam,tinsukia,0
2004,assam,tinsukia,0
2005,assam,tinsukia,0
2006,assam,tinsukia,0
2007,assam,tinsukia,0
2008,assam,tinsukia,0
2009,assam,tinsukia,0
2010,assam,tinsukia,0
2011,assam,tinsukia,0
2012,assam,tinsukia,0
2013,assam,tinsukia,0
2001,arunachalpradesh,tirap,0
2002,arunachalpradesh,tirap,0
2003,arunachalpradesh,tirap,0
2004,arunachalpradesh,tirap,0
2005,arunachalpradesh,tirap,0
2006,arunachalpradesh,tirap,0
2007,arunachalpradesh,tirap,0
2008,arunachalpradesh,tirap,0
2009,arunachalpradesh,tirap,0
2010,arunachalpradesh,tirap,0
2011,arunachalpradesh,tirap,0
2012,arunachalpradesh,tirap,0
2013,arunachalpradesh,tirap,0
2001,rajasthan,tonk,6
2002,rajasthan,tonk,3
2003,rajasthan,tonk,1
2004,rajasthan,tonk,2
2005,rajasthan,tonk,1
2006,rajasthan,tonk,2
2007,rajasthan,tonk,1
2008,rajasthan,tonk,3
2009,rajasthan,tonk,0
2010,rajasthan,tonk,1
2011,rajasthan,tonk,0
2012,rajasthan,tonk,2
2013,rajasthan,tonk,8
2001,tamilnadu,trichy_rly.,3
2002,tamilnadu,trichy_rly.,1
2003,tamilnadu,trichy_rly.,1
2004,tamilnadu,trichy_rly.,0
2005,tamilnadu,trichy_rly.,0
2006,tamilnadu,trichy_rly.,1
2007,tamilnadu,trichy_rly.,0
2008,tamilnadu,trichy_rly.,0
2009,tamilnadu,trichy_rly.,0
2010,tamilnadu,trichy_rly.,0
2011,tamilnadu,trichy_rly.,1
2012,tamilnadu,trichy_rly.,0
2013,tamilnadu,trichy_rly.,0
2001,tamilnadu,trichy_rural,5
2002,tamilnadu,trichy_rural,7
2003,tamilnadu,trichy_rural,4
2004,tamilnadu,trichy_rural,5
2005,tamilnadu,trichy_rural,7
2006,tamilnadu,trichy_rural,3
2007,tamilnadu,trichy_rural,0
2008,tamilnadu,trichy_rural,0
2009,tamilnadu,trichy_rural,0
2010,tamilnadu,trichy_rural,0
2011,tamilnadu,trichy_rural,0
2012,tamilnadu,trichy_rural,0
2013,tamilnadu,trichy_rural,0
2001,tamilnadu,trichy_urban,51
2002,tamilnadu,trichy_urban,106
2003,tamilnadu,trichy_urban,41
2004,tamilnadu,trichy_urban,102
2005,tamilnadu,trichy_urban,74
2006,tamilnadu,trichy_urban,58
2007,tamilnadu,trichy_urban,6
2008,tamilnadu,trichy_urban,37
2009,tamilnadu,trichy_urban,98
2010,tamilnadu,trichy_urban,92
2011,tamilnadu,trichy_urban,26
2012,tamilnadu,trichy_urban,39
2013,tamilnadu,trichy_urban,6
2001,nagaland,tuensang,0
2002,nagaland,tuensang,0
2003,nagaland,tuensang,0
2004,nagaland,tuensang,0
2005,nagaland,tuensang,0
2006,nagaland,tuensang,0
2007,nagaland,tuensang,0
2008,nagaland,tuensang,0
2009,nagaland,tuensang,0
2010,nagaland,tuensang,0
2011,nagaland,tuensang,0
2012,nagaland,tuensang,0
2013,nagaland,tuensang,0
2001,karnataka,tumkur,0
2002,karnataka,tumkur,0
2003,karnataka,tumkur,1
2004,karnataka,tumkur,1
2005,karnataka,tumkur,0
2006,karnataka,tumkur,0
2007,karnataka,tumkur,0
2008,karnataka,tumkur,0
2009,karnataka,tumkur,0
2010,karnataka,tumkur,0
2011,karnataka,tumkur,0
2012,karnataka,tumkur,0
2013,karnataka,tumkur,0
2001,rajasthan,udaipur,2
2002,rajasthan,udaipur,0
2003,rajasthan,udaipur,2
2004,rajasthan,udaipur,2
2005,rajasthan,udaipur,1
